Id,ParentId,UUID,SomeString,SomeUrl,SomeEmail,SomeLat,SomeLon,SomeInt,SomeReal,SomeDate,SomeBoolean,SomeCountry,MixedStringNumber
120,44,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,,-168.8223223,2279,4593.444568,2018-04-20,true,AU,14
121,,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,,94.88017601,9562,,2018-05-15,,AU,0.691800185
122,42,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,84.2771443,-53.39275124,,8746.818713,2018-04-23,false,AU,50
123,,,abcdef,https://www.kaggle.com,,-62.68706891,-160.7598064,3899,8942.877679,2018-03-14,,AU,33
124,63,,,https://www.kaggle.com,foo@bar.com,5.483133018,-108.3258879,8448,,2018-06-25,true,AU,0.05574743726
125,80,,,https://www.kaggle.com,foo@bar.com,-89.12741654,-42.54651033,3796,6109.195492,2018-05-07,false,AU,15
126,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,53.11387628,178.6234463,3026,7604.512665,2018-05-21,true,AU,
127,,,abcdef,https://www.kaggle.com,foo@bar.com,-20.67813394,129.2639135,5429,4992.463434,2018-06-27,true,AU,0.3599787536
128,77,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,61.47641867,71.28682015,5174,7261.168422,2018-07-09,false,AU,0.1788763471
129,31,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,72.27425222,,4049,2179.336252,2018-05-09,false,AU,0.4659796616
130,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,,-39.60743837,2268,6035.759124,2018-04-05,false,AU,0.1484710412
131,52,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,-54.84749706,-110.4435228,1013,7706.006242,2018-04-02,true,AU,
132,,,,http://www.google.com,foo@bar.com,2.641844677,19.45351339,6849,9829.560749,2018-04-13,true,AU,0.09360459143
133,12,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,40.98075823,40.41303341,1087,3364.062785,2018-03-15,true,AU,24
134,,,abcdef,http://www.google.com,test1@test.com,-18.14684448,-2.180389587,,5228.016795,,false,AU,0.5177208251
135,50,,,https://www.kaggle.com,test1@test.com,-7.065869234,-18.3989641,863,6182.725324,,false,AU,0.8288615943
136,91,,abcdef,,foo@bar.com,-19.10583492,,5453,378.985086,,false,AU,0.1424840709
137,,,,,foo@bar.com,-77.53543483,-61.219422,4848,9958.702596,,true,AU,0.2004091948
138,,,abcdef,https://www.kaggle.com,test1@test.com,,-156.9826924,6515,5491.053371,,,AU,0.7599675177
139,26,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,,23.95507312,125.634403,9487,3718.444307,,true,AU,46
140,,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,-48.50390071,-139.0710526,941,,,false,BG,test-string
141,,123e4567-e89b-12d3-a456-426655440000,abcdef,,test1@test.com,63.6535094,79.92319999,5505,2962.827647,,false,BG,test-string
142,95,,,http://www.google.com,foo@bar.com,-76.27971783,53.29563432,7601,3310.004984,,,BG,3
143,47,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,-69.33427154,47.24956155,8935,5402.296673,,false,BG,13
144,83,,,https://www.kaggle.com,foo@bar.com,-45.23218972,3.80909437,4041,8253.544439,,false,BG,0.2149790356
145,,,abcdef,http://www.google.com,test1@test.com,88.22336521,44.41040414,2685,7303.980992,,true,BG,34
146,90,,abcdef,https://www.kaggle.com,foo@bar.com,-28.54582309,-142.4626118,6999,2139.382049,,true,BG,38
147,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-4.345202551,110.8223671,,4569.172202,,false,BG,0.09021881303
148,54,,abcdef,https://www.kaggle.com,foo@bar.com,-87.26498339,146.7358636,9081,3567.815859,,false,BG,0.09251582111
149,,,,http://www.google.com,test1@test.com,-27.69048404,-39.02459428,3045,9562.900241,,true,BG,9
150,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,-9.490078107,121.3806449,7663,6348.533719,,true,BG,0.2821590772
151,,,abcdef,http://www.google.com,foo@bar.com,,70.90900618,1531,763.8476144,,false,CO,0.09875401858
152,28,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,16.62907665,123.9560595,9782,534.2258889,,false,CO,
153,37,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,,-170.7888137,9018,9222.6241,,false,CO,49
154,,,,https://www.kaggle.com,test1@test.com,54.01485028,-18.51263499,6266,7505.35761,,true,CO,0.09149984279
155,5,,,http://www.google.com,test1@test.com,-9.857386802,-142.4025421,51,5926.638971,,true,CO,36
156,,,,https://www.kaggle.com,test1@test.com,-73.62119997,34.88115072,1109,6270.214335,,true,CO,26
157,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,55.71198868,175.6703661,1962,1697.616505,,true,CO,3
158,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,-16.02667527,58.21980951,1698,7266.122926,,,CO,1
159,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,-86.33208201,10.14834504,5603,7690.651896,,true,CO,0.4862743299
160,,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,61.77741101,157.4451438,996,9977.305634,,false,CO,test-string
161,59,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-50.30107839,-139.7464934,1434,7680.237633,,false,CO,0.4662349433
162,,,abcdef,http://www.google.com,test1@test.com,-63.2652034,134.9893716,9629,5501.253225,,,CO,0.9085309475
163,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,-65.78723153,178.9596473,834,6013.787916,,true,CO,17
164,,,,https://www.kaggle.com,test1@test.com,0.0004721295392,-58.43073977,5799,1444.929733,,true,CO,3
165,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-45.43355154,-127.1383293,8163,5848.61138,,true,CO,0.2461198429
166,47,,,http://www.google.com,test1@test.com,43.47337416,-61.8461577,,7538.416401,,true,CO,10
167,57,,,http://www.google.com,test1@test.com,25.94569581,-14.44627179,8670,4704.482054,,true,CO,26
168,38,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-42.76779028,-79.07804858,5094,8136.001231,,false,CO,0.7707289469
169,56,,,http://www.google.com,foo@bar.com,,54.89109617,7923,6934.496885,,false,CO,0.8859962432
170,72,,,https://www.kaggle.com,test1@test.com,-82.12988753,-60.28562512,266,7857.979264,,true,CO,7
171,,123e4567-e89b-12d3-a456-426655440000,,,test1@test.com,-38.54915578,133.0561049,2083,,,true,CO,
172,65,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,34.44579889,,1309,,,true,CO,6
173,,123e4567-e89b-12d3-a456-426655440000,,,,60.06081602,-55.09202819,1781,7539.272657,,false,CO,3
174,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,-8.12260377,36.52382192,259,2434.610256,,,CO,0.6558179002
175,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,11.6858585,-38.58261741,5254,2823.175467,,,CO,13
176,,,,http://www.google.com,foo@bar.com,-81.33461737,-179.2572364,4043,3656.368192,,true,CO,17
177,82,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,68.8656708,-152.1441568,3347,,,false,CO,34
178,2,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,,-18.72437081,26.4436226,4642,9470.57416,,false,CO,35
179,41,,,https://www.kaggle.com,foo@bar.com,,16.04683906,6341,1140.060419,,true,DE,0.3712658823
180,53,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,74.13695885,0.5823681862,8419,3102.718899,,true,DE,0.3220183517
181,46,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,-32.37102049,-70.2437774,1209,5569.815871,,false,DE,test-string
182,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,-70.78519504,,2619,9794.355603,,true,DE,0.6266294102
183,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-36.78365499,85.25874558,488,8739.344181,,true,DE,12
184,65,,abcdef,https://www.kaggle.com,foo@bar.com,-56.71519912,-0.5983452756,3367,4507.42814,,false,DE,37
185,77,,abcdef,https://www.kaggle.com,test1@test.com,-7.672113934,104.7501534,9979,7630.116679,,false,DE,22
186,47,,,https://www.kaggle.com,test1@test.com,-46.94783858,174.5898468,,9281.704076,,true,DE,50
187,55,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-42.7450081,,9472,2939.315298,,false,DE,0.5847350244
188,99,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,86.7256835,,7696,656.8208156,,false,DE,
189,,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,-51.31438756,,6171,3555.08702,,true,DE,0.7850630162
190,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,70.05868962,-58.74323463,189,5385.893886,,true,DE,0.4897907874
191,,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,,61.54842712,157.239373,961,134.3363851,,false,DE,35
192,,,,http://www.google.com,test1@test.com,73.95266594,-110.5187656,4316,,,false,DE,15
193,,,,http://www.google.com,foo@bar.com,37.45267038,90.27502099,5216,7711.194077,,false,DE,
194,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,45.3549124,-20.83797195,4361,3004.866183,,true,DE,13
195,,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,86.59958048,-71.11147429,7392,7133.424028,,false,DE,0.5481037028
196,14,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,-55.57273194,-172.6384693,2775,857.597037,,false,DE,21
197,,,abcdef,https://www.kaggle.com,,36.93773825,66.93029008,9997,4985.223178,,true,DE,0.4341363652
198,,,abcdef,http://www.google.com,test1@test.com,-21.99269447,154.6323876,6515,9813.806779,,true,DE,0.2922113538
199,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,46.3925206,173.4028695,327,1346.815323,,false,DE,9
200,,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,-34.08716913,74.23202831,872,5366.367191,,false,DE,
201,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-83.43707621,113.0019008,3477,5497.219414,,true,DE,5
202,,,abcdef,,test1@test.com,22.85805723,,3780,3586.059744,,false,DE,0.9541747744
203,,,abcdef,https://www.kaggle.com,test1@test.com,,,7686,8132.093859,,true,DE,0.4379817352
204,,,,https://www.kaggle.com,,-17.26627651,105.3357884,8086,6218.046182,,true,DE,test-string
205,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,,3.464460186,87.82261872,8781,,,false,DE,12
206,89,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,,122.4480099,9982,1094.109829,,true,DE,0.6429155837
