number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,initial_price,neighborhood,rental_price
2,1,736,great,2,3854,south_side,3854.0
3,2,1056,poor,54,4408,westbrae,4108.255999999999
1,1,625,great,2,2578,south_side,2578.0
1,1,736,poor,30,1891,westbrae,1853.18
3,2,882,good,10,4659,downtown,4659.0
2,1,646,good,1,3280,downtown,3280.0
0,1,231,good,2,1650,downtown,1650.0
0,1,157,poor,36,1172,westbrae,1134.496
0,1,464,good,11,1793,downtown,1793.0
1,1,320,great,8,2268,south_side,2268.0
2,1,682,great,5,3705,south_side,3705.0
2,1,729,great,2,3856,south_side,3856.0
3,2,933,poor,22,4557,westbrae,4538.772
1,1,606,great,14,2454,south_side,2454.0
2,1,663,great,3,3691,south_side,3691.0
1,1,407,good,3,1894,downtown,1894.0
1,1,692,good,5,2115,downtown,2115.0
3,2,975,great,6,5271,south_side,5271.0
2,1,726,good,11,3242,downtown,3242.0
1,1,329,good,10,1755,downtown,1755.0
1,1,418,good,3,1907,downtown,1907.0
1,1,627,good,2,2060,downtown,2060.0
0,1,435,poor,26,1553,westbrae,1534.364
2,1,533,great,2,3645,south_side,3645.0
0,1,144,great,4,1979,south_side,1979.0
2,1,872,poor,61,2884,westbrae,2647.512
2,1,646,poor,53,2750,westbrae,2568.5
0,1,320,poor,36,1322,westbrae,1279.6960000000001
3,2,1143,poor,18,4846,westbrae,4846.0
3,2,1087,good,2,4898,downtown,4898.0
0,1,369,poor,43,1349,westbrae,1286.9460000000001
1,1,358,good,3,1866,downtown,1866.0
3,2,1157,good,10,4862,downtown,4862.0
3,2,902,poor,29,4456,westbrae,4375.792
2,1,803,good,8,3279,downtown,3279.0
3,2,1006,poor,44,4416,westbrae,4204.032
3,2,916,poor,36,4378,westbrae,4237.904
0,1,271,good,14,1557,downtown,1557.0
2,1,745,poor,37,2951,westbrae,2850.6659999999997
3,2,963,good,3,4734,downtown,4734.0
2,1,901,poor,24,3226,westbrae,3200.192
0,1,307,great,7,2151,south_side,2151.0
3,2,871,good,11,4626,downtown,4626.0
0,1,459,poor,37,1464,westbrae,1414.224
1,1,624,poor,31,1847,westbrae,1806.366
1,1,350,good,11,1759,downtown,1759.0
1,1,600,good,11,2009,downtown,2009.0
0,1,541,good,8,1894,downtown,1894.0
3,2,939,poor,29,4484,westbrae,4403.288
3,2,1234,good,3,5052,downtown,5052.0
3,2,1150,good,2,4982,downtown,4982.0
3,2,996,good,13,4758,downtown,4758.0
1,1,447,good,12,1784,downtown,1784.0
1,1,698,poor,23,1998,westbrae,1986.0120000000002
0,1,371,good,13,1639,downtown,1639.0
0,1,425,poor,34,1449,westbrae,1408.4279999999999
0,1,441,poor,19,1613,westbrae,1613.0
0,1,112,good,7,1487,downtown,1487.0
2,1,876,poor,15,3347,westbrae,3347.0
3,2,860,good,4,4631,downtown,4631.0
0,1,312,poor,26,1479,westbrae,1461.2520000000002
2,1,564,good,6,3137,downtown,3137.0
0,1,335,good,12,1609,downtown,1609.0
3,2,1001,poor,57,4245,westbrae,3930.87
2,1,904,great,8,3938,south_side,3938.0
0,1,150,poor,60,957,westbrae,880.44
2,1,892,poor,18,3303,westbrae,3303.0
2,1,886,good,10,3396,downtown,3396.0
2,1,619,great,0,3671,south_side,3671.0
2,1,598,poor,16,3049,westbrae,3049.0
2,1,883,good,8,3411,downtown,3411.0
1,1,443,good,10,1820,downtown,1820.0
3,2,969,poor,56,4236,westbrae,3931.008
0,1,457,good,4,1796,downtown,1796.0
3,2,1175,good,0,4999,downtown,4999.0
1,1,514,poor,51,1536,westbrae,1440.7679999999998
3,2,916,good,3,4716,downtown,4716.0
1,1,625,poor,42,1699,westbrae,1624.244
0,1,442,good,5,1779,downtown,1779.0
0,1,310,poor,20,1465,westbrae,1465.0
3,2,819,great,12,5049,south_side,5049.0
1,1,598,great,7,2499,south_side,2499.0
0,1,383,good,11,1707,downtown,1707.0
2,1,878,good,8,3379,downtown,3379.0
0,1,505,good,2,1863,downtown,1863.0
2,1,646,great,0,3727,south_side,3727.0
0,1,123,great,9,1976,south_side,1976.0
0,1,375,poor,17,1620,westbrae,1620.0
3,2,1124,great,9,5420,south_side,5420.0
0,1,294,great,1,2221,south_side,2221.0
2,1,850,good,2,3437,downtown,3437.0
0,1,376,good,1,1766,downtown,1766.0
0,1,150,poor,43,1083,westbrae,1033.182
3,2,1054,poor,46,4411,westbrae,4181.628
0,1,191,good,12,1492,downtown,1492.0
0,1,300,good,8,1667,downtown,1667.0
0,1,283,good,7,1582,downtown,1582.0
0,1,454,good,13,1753,downtown,1753.0
2,1,589,good,7,3077,downtown,3077.0
2,1,906,good,9,3421,downtown,3421.0
3,2,1088,poor,52,4393,westbrae,4111.848
0,1,410,good,3,1740,downtown,1740.0
1,1,499,poor,38,1623,westbrae,1564.5720000000001
0,1,149,poor,47,1046,westbrae,989.5160000000001
0,1,426,good,3,1783,downtown,1783.0
3,2,880,good,2,4726,downtown,4726.0
1,1,363,good,12,1765,downtown,1765.0
3,2,1037,poor,35,4578,westbrae,4440.66
3,2,1145,good,11,4929,downtown,4929.0
1,1,435,good,8,1855,downtown,1855.0
3,2,1114,great,9,5363,south_side,5363.0
3,2,816,good,8,4594,downtown,4594.0
1,1,435,good,6,1884,downtown,1884.0
1,1,609,poor,15,1929,westbrae,1929.0
3,2,984,good,0,4855,downtown,4855.0
1,1,602,good,2,2043,downtown,2043.0
2,1,892,good,3,3435,downtown,3435.0
3,2,871,poor,31,4397,westbrae,4300.266
2,1,653,good,9,3147,downtown,3147.0
1,1,748,poor,62,1631,westbrae,1493.996
0,1,235,great,14,2000,south_side,2000.0
3,2,1133,good,9,4874,downtown,4874.0
2,1,855,good,9,3362,downtown,3362.0
3,2,1165,good,9,4902,downtown,4902.0
0,1,195,great,6,2039,south_side,2039.0
1,1,409,great,4,2380,south_side,2380.0
3,2,1186,poor,62,4437,westbrae,4064.292
1,1,476,great,8,2370,south_side,2370.0
1,1,438,great,6,2332,south_side,2332.0
3,2,1182,good,6,4994,downtown,4994.0
1,1,305,good,14,1675,downtown,1675.0
3,2,1109,good,9,4906,downtown,4906.0
0,1,322,good,13,1573,downtown,1573.0
2,1,822,good,8,3374,downtown,3374.0
3,2,1022,poor,60,4300,westbrae,3956.0
0,1,303,poor,48,1179,westbrae,1112.976
1,1,656,poor,31,1872,westbrae,1830.816
3,2,1212,poor,16,4906,westbrae,4906.0
1,1,743,poor,44,1756,westbrae,1671.7120000000002
1,1,579,poor,51,1550,westbrae,1453.9
3,2,914,good,0,4805,downtown,4805.0
3,2,1225,poor,56,4504,westbrae,4179.712
1,1,714,good,8,2135,downtown,2135.0
2,1,679,good,1,3251,downtown,3251.0
1,1,719,poor,64,1596,alcatraz_ave,1455.5520000000001
3,2,1097,good,7,4832,thowsand_oaks,4832.0
2,1,525,good,3,3058,thowsand_oaks,3058.0
3,2,850,good,1,4718,thowsand_oaks,4718.0
3,2,1183,poor,23,4801,alcatraz_ave,4772.194
3,2,915,great,1,5240,berkeley_hills,5240.0
3,2,972,good,5,4794,thowsand_oaks,4794.0
3,2,903,poor,27,4528,alcatraz_ave,4464.608
2,1,738,good,11,3277,thowsand_oaks,3277.0
1,1,608,poor,59,1477,alcatraz_ave,1361.7939999999999
2,1,908,poor,49,3013,alcatraz_ave,2838.2459999999996
3,2,961,good,9,4764,thowsand_oaks,4764.0
1,1,635,good,1,2111,thowsand_oaks,2111.0
1,1,519,good,8,1956,thowsand_oaks,1956.0
2,1,917,great,13,3901,berkeley_hills,3901.0
3,2,1094,great,12,5323,berkeley_hills,5323.0
0,1,296,great,5,2151,berkeley_hills,2151.0
2,1,536,poor,43,2751,alcatraz_ave,2624.454
3,2,953,good,10,4682,thowsand_oaks,4682.0
0,1,451,poor,60,1234,alcatraz_ave,1135.28
3,2,1236,good,11,4993,thowsand_oaks,4993.0
2,1,624,poor,47,2738,alcatraz_ave,2590.1479999999997
3,2,902,poor,42,4379,alcatraz_ave,4186.3240000000005
0,1,310,good,12,1638,thowsand_oaks,1638.0
2,1,882,good,13,3322,thowsand_oaks,3322.0
2,1,939,good,12,3437,thowsand_oaks,3437.0
2,1,659,good,14,3166,thowsand_oaks,3166.0
2,1,740,good,1,3329,thowsand_oaks,3329.0
2,1,697,good,3,3240,thowsand_oaks,3240.0
1,1,580,poor,45,1593,alcatraz_ave,1513.35
0,1,102,great,8,1895,berkeley_hills,1895.0
1,1,380,poor,30,1577,alcatraz_ave,1545.46
3,2,869,great,2,5152,berkeley_hills,5152.0
0,1,535,good,14,1830,thowsand_oaks,1830.0
2,1,677,poor,49,2778,alcatraz_ave,2616.876
0,1,187,good,0,1566,thowsand_oaks,1566.0
2,1,919,good,12,3419,thowsand_oaks,3419.0
3,2,1171,poor,25,4775,alcatraz_ave,4727.25
3,2,1121,good,10,4877,thowsand_oaks,4877.0
0,1,124,good,6,1441,thowsand_oaks,1441.0
1,1,326,good,9,1782,thowsand_oaks,1782.0
0,1,469,good,14,1713,thowsand_oaks,1713.0
3,2,1102,poor,64,4297,alcatraz_ave,3918.864
0,1,379,poor,28,1534,alcatraz_ave,1509.4560000000001
3,2,983,great,14,5145,berkeley_hills,5145.0
1,1,686,good,4,2175,thowsand_oaks,2175.0
0,1,194,great,10,2042,berkeley_hills,2042.0
2,1,890,good,6,3476,thowsand_oaks,3476.0
0,1,497,good,4,1877,thowsand_oaks,1877.0
3,2,831,good,4,4621,thowsand_oaks,4621.0
1,1,472,poor,17,1771,alcatraz_ave,1771.0
0,1,398,great,12,2151,berkeley_hills,2151.0
3,2,913,great,4,5269,berkeley_hills,5269.0
0,1,438,great,8,2273,berkeley_hills,2273.0
0,1,220,good,3,1548,thowsand_oaks,1548.0
3,2,1009,great,8,5326,berkeley_hills,5326.0
1,1,649,great,5,2563,berkeley_hills,2563.0
0,1,499,good,5,1839,thowsand_oaks,1839.0
2,1,677,good,0,3232,thowsand_oaks,3232.0
3,2,926,good,13,4679,thowsand_oaks,4679.0
3,2,1005,poor,59,4255,alcatraz_ave,3923.11
0,1,137,good,9,1479,thowsand_oaks,1479.0
3,2,1066,good,13,4774,thowsand_oaks,4774.0
0,1,436,good,14,1658,thowsand_oaks,1658.0
2,1,773,good,12,3207,thowsand_oaks,3207.0
3,2,1038,great,8,5318,berkeley_hills,5318.0
0,1,103,good,12,1413,thowsand_oaks,1413.0
0,1,498,good,10,1801,thowsand_oaks,1801.0
0,1,432,poor,55,1303,alcatraz_ave,1211.79
0,1,127,poor,61,923,alcatraz_ave,847.314
1,1,490,great,6,2452,berkeley_hills,2452.0
3,2,987,great,6,5298,berkeley_hills,5298.0
2,1,606,good,11,3068,thowsand_oaks,3068.0
1,1,638,poor,41,1774,alcatraz_ave,1699.4920000000002
3,2,944,great,2,5321,berkeley_hills,5321.0
1,1,601,poor,47,1637,alcatraz_ave,1548.602
3,2,1024,poor,17,4745,alcatraz_ave,4745.0
